Hola compañeros,

En este correo os envío los datos tomados por nuestra sonda.
Os envío "el bruto" en un archivo .txt 

Formato:

$Datos,n, humidity [%],Ext Temp [ºC], Int Tem [ºC],Pressure [KPa],Z 

Eg: $Datos,1,46,22,20,89,Z

En este ejemplo, estaríamos viendo los datos de la muestra número "1". Comprobamos que había un 46% de Humedad relativa, una temperatura exterior de 22ºC y una interior de 20ºC, con una presión de 89KPa.

Como podéis comprobar los dos termómetros no están del todo "calibrados/sincronizados". Son de diferente tipo y hay fluctuaciones entre ambos. A lo mejor se pueden hacer algún pequeño algoritmo de corrección que añada un OFFSET (en teoría, durante las primeras tomas, ambos dos deberían encontrarse al mismo valor) para poder comparar las medidas a lo largo del vuelo.

$Datos,552, 9,1,231,8,Z
$Datos,553, 9,1,231,9,Z
$Datos,554, 9,1,231,9,Z
$Datos,555, 1,201,231,10,Z
$Datos,556, 1,201,231,10,Z
$Datos,557, 1,201,231,11,Z
$Datos,558, 1,201,230,12,Z
$Datos,559, 1,201,230,12,Z
$Datos,560, 1,201,230,13,Z
$Datos,561, 1,201,230,13,Z
$Datos,562, 1,201,230,14,Z
$Datos,563, 1,201,230,15,Z
$Datos,564, 1,201,230,15,Z
$Datos,565, 1,201,230,16,Z
$Datos,566, 1,202,230,16,Z
$Datos,567, 1,202,230,17,Z
$Datos,568, 1,203,230,18,Z
$Datos,569, 1,203,229,18,Z
$Datos,570, 1,204,229,19,Z
$Datos,571, 1,205,228,19,Z
$Datos,572, 1,206,229,20,Z
$Datos,573, 1,207,229,21,Z
$Datos,574, 1,208,229,21,Z
$Datos,575, 1,208,228,22,Z
$Datos,576, 1,208,229,22,Z
$Datos,577, 1,211,228,23,Z
$Datos,578, 1,213,229,24,Z
$Datos,579, 1,214,229,24,Z
$Datos,580, 1,215,228,25,Z
$Datos,581, 1,216,228,26,Z
$Datos,582, 1,217,228,26,Z
$Datos,583, 3,219,228,27,Z
$Datos,584, 4,220,228,28,Z
$Datos,585, 6,221,227,28,Z
$Datos,586, 6,222,228,29,Z
$Datos,587, 7,223,228,30,Z
$Datos,588, 7,223,227,31,Z
$Datos,589, 7,223,228,31,Z
$Datos,590, 7,227,228,32,Z
$Datos,591, 7,228,227,33,Z
$Datos,592, 7,229,228,33,Z
$Datos,593, 7,229,228,34,Z
$Datos,594, 7,230,229,35,Z
$Datos,595, 7,231,228,35,Z
$Datos,596, 8,231,228,36,Z
$Datos,597, 8,232,229,37,Z
$Datos,598, 9,233,228,38,Z
$Datos,599, 9,233,228,38,Z
$Datos,600, 10,234,228,39,Z
$Datos,601, 12,235,229,40,Z
$Datos,602, 14,236,229,41,Z
$Datos,603, 14,236,228,41,Z
$Datos,604, 14,236,229,42,Z
$Datos,605, 18,239,228,43,Z
$Datos,606, 19,240,230,44,Z
$Datos,607, 19,240,229,45,Z
$Datos,608, 19,240,229,45,Z
$Datos,609, 19,240,230,46,Z
$Datos,610, 19,240,230,47,Z
$Datos,611, 18,245,230,48,Z
$Datos,612, 18,246,230,48,Z
$Datos,613, 18,247,231,49,Z
$Datos,614, 19,247,231,50,Z
$Datos,615, 20,249,230,51,Z
$Datos,616, 21,250,230,52,Z
$Datos,617, 21,251,232,52,Z
$Datos,618, 21,252,231,53,Z
$Datos,619, 21,252,231,54,Z
$Datos,620, 23,252,232,55,Z
$Datos,621, 25,253,232,56,Z
$Datos,622, 27,253,232,56,Z
$Datos,623, 29,254,233,57,Z
$Datos,624, 31,255,233,58,Z
$Datos,625, 35,255,232,59,Z
$Datos,626, 39,0,233,60,Z
$Datos,627, 42,0,233,60,Z
$Datos,628, 44,0,234,61,Z
$Datos,629, 45,0,234,62,Z
$Datos,630, 45,1,234,63,Z
$Datos,631, 44,2,234,63,Z
$Datos,632, 43,2,235,64,Z
